radon	floor	uranium	county
0.78845736	1	-0.689047595	1
0.78845736	0	-0.689047595	1
1.064710737	0	-0.689047595	1
0	0	-0.689047595	1
1.131402111	0	-0.84731286	2
0.916290732	0	-0.84731286	2
0.405465108	0	-0.84731286	2
0	0	-0.84731286	2
-0.356674944	0	-0.84731286	2
0.182321557	0	-0.84731286	2
0.182321557	0	-0.84731286	2
0.262364264	0	-0.84731286	2
0.336472237	0	-0.84731286	2
-0.916290732	0	-0.84731286	2
0.09531018	0	-0.84731286	2
1.504077397	0	-0.84731286	2
0.262364264	0	-0.84731286	2
0.741937345	0	-0.84731286	2
1.774952351	0	-0.84731286	2
1.193922468	0	-0.84731286	2
0.587786665	0	-0.84731286	2
1.686398954	0	-0.84731286	2
1.840549633	0	-0.84731286	2
0.641853886	0	-0.84731286	2
1.887069649	0	-0.84731286	2
1.131402111	0	-0.84731286	2
1.916922612	0	-0.84731286	2
1.945910149	0	-0.84731286	2
2.041220329	0	-0.84731286	2
1.648658626	0	-0.84731286	2
1.504077397	0	-0.84731286	2
1.481604541	0	-0.84731286	2
1.029619417	0	-0.84731286	2
2.091864062	0	-0.84731286	2
0.470003629	0	-0.84731286	2
1.435084525	0	-0.84731286	2
1.686398954	0	-0.84731286	2
1.386294361	0	-0.84731286	2
0.832909123	0	-0.84731286	2
1.064710737	0	-0.84731286	2
0.336472237	0	-0.84731286	2
1.193922468	0	-0.84731286	2
1.064710737	0	-0.84731286	2
0.587786665	1	-0.84731286	2
-1.609437912	1	-0.84731286	2
0.875468737	0	-0.84731286	2
0.09531018	1	-0.84731286	2
0.78845736	0	-0.84731286	2
-0.510825624	0	-0.84731286	2
0.530628251	0	-0.84731286	2
1.064710737	0	-0.84731286	2
0.78845736	0	-0.84731286	2
0.530628251	0	-0.84731286	2
0.336472237	0	-0.84731286	2
0.641853886	0	-0.84731286	2
0.587786665	0	-0.84731286	2
0.182321557	1	-0.113458774	3
1.458615023	0	-0.113458774	3
1.504077397	1	-0.113458774	3
1.840549633	0	-0.593352526	4
1.526056303	0	-0.593352526	4
1.740466175	0	-0.593352526	4
0.78845736	1	-0.593352526	4
-0.916290732	1	-0.593352526	4
1.526056303	1	-0.593352526	4
1.481604541	1	-0.593352526	4
1.887069649	0	-0.142890481	5
0.993251773	0	-0.142890481	5
1.064710737	1	-0.142890481	5
1.064710737	0	-0.142890481	5
1.974081026	0	0.387056708	6
1.609437912	0	0.387056708	6
0.955511445	0	0.387056708	6
1.609437912	0	0.271613664	7
2.564949357	0	0.271613664	7
1.974081026	0	0.271613664	7
1.916922612	0	0.271613664	7
2.549445171	0	0.271613664	7
1.757857918	1	0.271613664	7
2.251291799	0	0.271613664	7
1.791759469	0	0.271613664	7
1.335001067	0	0.271613664	7
2.660259537	1	0.271613664	7
0.587786665	0	0.271613664	7
1.931521412	0	0.271613664	7
1.547562509	0	0.271613664	7
2.251291799	0	0.271613664	7
0.916290732	1	0.277578705	8
1.902107526	0	0.277578705	8
1.386294361	1	0.277578705	8
